Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Gestation, Max Offspring, Storage, Reproductive Urge, Eye Color
284.2483,0,0,0,539,0,0,0,0,0,0,0
284.828,0,0,0,540,0,0,0,0,0,0,0
285.344,0,0,0,541,0,0,0,0,0,0,0
285.9448,0,0,0,542,0,0,0,0,0,0,0
286.4956,0,0,0,543,0,0,0,0,0,0,0
287.0137,0,0,0,544,0,0,0,0,0,0,0
287.5551,0,0,0,545,0,0,0,0,0,0,0
288.1263,0,0,0,546,0,0,0,0,0,0,0
288.7273,0,0,0,547,0,0,0,0,0,0,0
289.3596,0,0,0,548,0,0,0,0,0,0,0
289.9426,0,0,0,549,0,0,0,0,0,0,0
290.621,0,0,0,550,0,0,0,0,0,0,0
291.154,0,0,0,551,0,0,0,0,0,0,0
291.6803,0,0,0,552,0,0,0,0,0,0,0
292.231,0,0,0,553,0,0,0,0,0,0,0
292.7883,0,0,0,554,0,0,0,0,0,0,0
293.3282,0,0,0,556,0,0,0,0,0,0,0
293.936,0,0,0,558,0,0,0,0,0,0,0
294.523,0,0,0,559,0,0,0,0,0,0,0
295.1154,0,0,0,560,0,0,0,0,0,0,0
295.7038,0,0,0,561,0,0,0,0,0,0,0
296.3171,0,0,0,562,0,0,0,0,0,0,0
296.8766,0,0,0,563,0,0,0,0,0,0,0
297.4677,0,0,0,564,0,0,0,0,0,0,0
298.0656,0,0,0,565,0,0,0,0,0,0,0
298.605,0,0,0,566,0,0,0,0,0,0,0
299.1766,0,0,0,567,0,0,0,0,0,0,0
